[2025-08-06 23:48:54.403] [INFO] Cameraapp main function started
[2025-08-06 23:48:54.405] [INFO] Initializing cameraapp
[2025-08-06 23:49:05.747] [INFO] Cameraapp initialization complete
[2025-08-06 23:49:05.749] [INFO] HK transmission thread started
[2025-08-06 23:49:05.753] [INFO] Camera status update thread started
[2025-08-06 23:49:05.757] [INFO] Camera status changed: IDLE -> READY
[2025-08-06 23:49:05.757] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:05.757] [INFO] All cameraapp threads started
[2025-08-06 23:49:05.756] [INFO] Camera data transmission thread started
[2025-08-06 23:49:05.763] [MSG_RECEIVED] Message 2704 received from FlightLogic
[2025-08-06 23:49:07.035] [INFO] Camera activation command received
[2025-08-06 23:49:05.886] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:06.336] [INFO] Disk usage updated: 0.0% -> 22.0%
[2025-08-06 23:49:06.761] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:07.037] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:07.036] [ERROR] Main loop error: module 'camera.camera' has no attribute 'start_recording'
[2025-08-06 23:49:08.039] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:08.042] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:08.045] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:09.043] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:09.048] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:09.049] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:10.044] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:10.051] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:10.052] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:11.046] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:11.054] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:11.055] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:12.071] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:12.072] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:12.075] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:13.076] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:13.077] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:13.079] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:14.079] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:14.081] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:14.082] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:15.080] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:15.084] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:15.085] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:16.082] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:16.086] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:16.087] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:17.085] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:17.089] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:17.091] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:18.086] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:18.093] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:18.095] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:19.088] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:19.097] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:19.098] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:20.089] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:20.100] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:20.101] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:21.090] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:21.103] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:21.104] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:22.092] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:22.107] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:22.108] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:23.093] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:23.109] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:23.110] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:24.095] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:24.112] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:24.113] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:25.097] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:25.115] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:25.116] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:49:26.098] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:49:26.118] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:49:26.119] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:23.984] [INFO] Cameraapp main function started
[2025-08-06 23:55:23.989] [INFO] Initializing cameraapp
[2025-08-06 23:55:33.936] [INFO] Cameraapp initialization complete
[2025-08-06 23:55:33.942] [INFO] Camera status update thread started
[2025-08-06 23:55:33.944] [INFO] Camera data transmission thread started
[2025-08-06 23:55:33.942] [INFO] HK transmission thread started
[2025-08-06 23:55:33.943] [INFO] All cameraapp threads started
[2025-08-06 23:55:33.948] [INFO] Camera status changed: IDLE -> READY
[2025-08-06 23:55:33.951] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:33.954] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:33.956] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:33.990] [INFO] Disk usage updated: 0.0% -> 22.0%
[2025-08-06 23:55:34.958] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:34.966] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:34.967] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:35.959] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:35.968] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:35.970] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:36.961] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:36.972] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:36.973] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:37.963] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:37.975] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:37.976] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:38.964] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:38.977] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:38.979] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:39.966] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:39.980] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:39.981] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:40.967] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:40.983] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-06 23:55:40.984] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-06 23:55:41.968] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-06 23:55:41.985] [MSG_SENT] Message 2702 sent to TelemetryApp
