[2025-08-13 07:56:52.632] [INFO] Cameraapp main function started
[2025-08-13 07:56:52.704] [INFO] Initializing cameraapp
[2025-08-13 07:57:03.738] [INFO] Cameraapp initialization complete
[2025-08-13 07:57:03.964] [INFO] HK transmission thread started
[2025-08-13 07:57:36.561] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:36.568] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:36.570] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:37.563] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:37.571] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:38.872] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:39.873] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:39.886] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:39.903] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:40.903] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:40.904] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:40.905] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:41.905] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:41.906] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:43.419] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:45.737] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:45.736] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:45.744] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:46.745] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:46.747] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:46.748] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:47.746] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:48.313] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:48.347] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:49.346] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:49.348] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:49.353] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:50.348] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:50.354] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:50.358] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:51.350] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:51.359] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:51.360] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:52.352] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:52.612] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:52.614] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:53.354] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:53.616] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:53.619] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:54.356] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:54.621] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:54.622] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:55.357] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:55.624] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:55.626] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:56.359] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:56.627] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:56.628] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:57.360] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:57.630] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:57.631] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:58.361] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:58.633] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:58.634] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:57:59.363] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:57:59.636] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:57:59.638] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:00.366] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:00.640] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:00.641] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:01.367] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:01.642] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:01.643] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:02.369] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:02.645] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:02.646] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-13 07:58:03.370] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-13 07:58:03.647] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-13 07:58:03.647] [MSG_SENT] Message 2703 sent to FlightLogicApp
