[2025-08-20 12:53:43.287] [INFO] Cameraapp main function started
[2025-08-20 12:53:43.505] [INFO] Initializing cameraapp
[2025-08-20 12:53:55.767] [INFO] Cameraapp initialization complete
[2025-08-20 12:53:56.051] [INFO] Camera status update thread started
[2025-08-20 12:53:56.052] [INFO] Camera status changed: IDLE -> READY
[2025-08-20 12:53:56.039] [INFO] HK transmission thread started
[2025-08-20 12:53:56.075] [INFO] Camera data transmission thread started
[2025-08-20 12:54:30.747] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:30.759] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:38.622] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:38.626] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:38.624] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:39.629] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:39.633] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:39.636] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:40.634] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:40.637] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:40.641] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:41.635] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:41.643] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:41.644] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:42.639] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:42.645] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:42.646] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:43.641] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:43.651] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:43.651] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:44.645] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:44.652] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:44.653] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:45.646] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:45.655] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:45.657] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:46.648] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:46.660] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:46.661] [MSG_SENT] Message 2703 sent to FlightLogicApp
[2025-08-20 12:54:47.649] [MSG_SENT] Message 2701 sent to HKApp
[2025-08-20 12:54:47.663] [MSG_SENT] Message 2702 sent to TelemetryApp
[2025-08-20 12:54:47.663] [MSG_SENT] Message 2703 sent to FlightLogicApp
