timestamp,error_message
2025-08-09 17:36:12.186,Main loop error: 'str' object has no attribute 'receiver_app' | Context: commapp_main
2025-08-09 20:17:04.301,Main loop error: 'str' object has no attribute 'receiver_app' | Context: commapp_main
2025-08-10 12:39:55.093,Main loop error: 'str' object has no attribute 'receiver_app' | Context: commapp_main
2025-08-11 12:48:19.064,Main loop error: 'str' object has no attribute 'receiver_app' | Context: commapp_main
2025-08-13 08:56:53.311,Main loop error: 'str' object has no attribute 'receiver_app' | Context: commapp_main
