timestamp,pressure,temperature
2025-08-06 23:48:54.369,3.42,85.0
2025-08-06 23:48:54.459,3.72,85.0
2025-08-06 23:48:54.548,2.2,85.0
2025-08-06 23:48:54.636,3.42,85.0
2025-08-06 23:48:54.725,2.99,85.0
2025-08-06 23:48:54.814,3.42,85.0
2025-08-06 23:48:54.904,3.42,85.0
2025-08-06 23:48:54.993,3.78,85.0
2025-08-06 23:48:55.081,3.42,85.0
2025-08-06 23:48:55.170,2.62,85.0
2025-08-06 23:48:55.258,3.42,85.0
2025-08-06 23:48:55.347,3.42,85.0
2025-08-06 23:48:55.438,3.78,85.0
2025-08-06 23:48:55.526,3.42,85.0
2025-08-06 23:48:55.616,3.42,85.0
2025-08-06 23:48:55.709,3.42,85.0
2025-08-06 23:48:56.436,3.42,85.0
2025-08-06 23:48:56.524,3.42,85.0
2025-08-06 23:48:56.612,3.11,85.0
2025-08-06 23:48:56.701,3.72,85.0
2025-08-06 23:48:56.789,3.42,85.0
2025-08-06 23:48:56.878,3.72,85.0
2025-08-06 23:48:56.967,3.42,85.0
2025-08-06 23:48:57.055,2.2,85.0
2025-08-06 23:48:57.146,3.42,85.0
2025-08-06 23:48:57.235,3.42,85.0
2025-08-06 23:48:57.324,3.72,85.0
2025-08-06 23:48:57.413,3.72,85.0
2025-08-06 23:48:57.501,3.66,85.0
2025-08-06 23:48:57.590,3.42,85.0
2025-08-06 23:48:57.680,3.42,85.0
2025-08-06 23:48:57.768,3.66,85.0
2025-08-06 23:48:57.856,3.72,85.0
2025-08-06 23:48:57.945,2.99,85.0
2025-08-06 23:48:58.034,3.42,85.0
2025-08-06 23:48:58.122,3.42,85.0
2025-08-06 23:48:58.211,2.2,85.0
2025-08-06 23:48:58.299,3.72,85.0
2025-08-06 23:48:58.387,3.66,85.0
2025-08-06 23:48:58.476,3.72,85.0
2025-08-06 23:48:58.568,3.42,85.0
2025-08-06 23:48:58.655,2.5,85.0
2025-08-06 23:48:58.744,3.72,85.0
2025-08-06 23:48:58.833,3.72,85.0
2025-08-06 23:48:58.921,3.72,85.0
2025-08-06 23:48:59.011,3.42,85.0
2025-08-06 23:48:59.099,2.2,85.0
2025-08-06 23:48:59.188,3.72,85.0
2025-08-06 23:48:59.277,3.42,85.0
2025-08-06 23:48:59.366,3.42,85.0
2025-08-06 23:48:59.455,3.42,85.0
2025-08-06 23:48:59.544,3.78,85.0
2025-08-06 23:48:59.633,3.42,85.0
2025-08-06 23:48:59.722,3.42,85.0
2025-08-06 23:48:59.811,3.72,85.0
2025-08-06 23:48:59.899,3.42,85.0
2025-08-06 23:48:59.988,3.11,85.0
2025-08-06 23:49:00.077,3.72,85.0
2025-08-06 23:49:00.165,3.42,85.0
2025-08-06 23:49:00.253,2.5,85.0
2025-08-06 23:49:00.342,3.42,85.0
